comuna,poblacion_total,poblacion_migrante,pct_migrante
9104,6699,328,4.896253172115241
9105,28667,60,0.20929989186172254
9106,9495,0,0
9107,12066,415,3.439416542350406
9108,41988,731,1.7409736115080499
9109,20578,0,0
9110,5364,0,0
9111,26192,0,0
9112,93825,461,0.4913402611244338
9113,5272,140,2.655538694992413
9114,24567,364,1.4816623926405341
9115,44278,816,1.8429016667419487
9116,10232,0,0
9117,12300,104,0.8455284552845529
9118,8948,0,0
9119,28903,192,0.6642909040584022
9120,82446,511,0.6197996264221429
9121,8337,100,1.1994722322178242
9201,52384,486,0.9277642028100184
9202,21190,0,0
9203,16229,32,0.19717789142892353
9204,8141,0,0
9205,8809,0,0
9206,6585,42,0.6378132118451025
9207,6873,0,0
9208,11277,0,0
9209,8175,0,0
9210,16241,0,0
9211,30750,312,1.0146341463414634
10101,324521,18253,5.624597483675941
10102,32582,175,0.5371063777545885
10104,10813,372,3.4403033385739388
10105,21026,324,1.540949300865595
10106,16192,0,0
10107,16535,29,0.17538554581191412
10108,14583,444,3.04464102036618
10109,69198,3562,5.14754761698315
10201,39047,1253,3.208953312674469
10202,43340,421,0.9713890170742963
10203,14517,120,0.8266170696424882
10204,4159,171,4.111565280115412
10205,14615,540,3.69483407458091
10206,5079,0,0
10207,4940,0,0
10208,21984,1153,5.244723435225619
10209,8726,0,0
10210,9701,181,1.865787032264715
10301,167511,1138,0.679358370495072
10302,8482,409,4.821975949068616
10303,16090,404,2.5108763206960845
10304,12017,0,0
10305,12442,0,0
10306,9736,0,0
10307,8924,0,0
11101,68926,1427,2.070336302701448
11102,297,0,0
11201,24925,881,3.534603811434303
11202,4582,68,1.4840680925360106
11301,2927,0,0
11303,153,0,0
11401,3961,190,4.796768492804847
11402,1407,21,1.492537313432836
12101,143645,7063,4.916982839639389
12102,309,0,0
12103,348,0,0
12104,572,41,7.1678321678321675
12201,1525,0,0
12301,7929,330,4.161937192584185
12302,402,9,2.2388059701492535
12303,385,8,2.0779220779220777
12401,24653,2380,9.653997485093091
12402,394,41,10.406091370558375
13101,488340,193583,39.64102879141582
13102,84198,6766,8.03582032827383
13103,139809,14829,10.606613308156128
13104,144030,22637,15.716864542109283
13105,179465,9612,5.355918981416989
13106,200533,66649,33.235926256526355
13107,99693,8430,8.455959796575486
13108,136086,58328,42.86113193127875
13109,112856,12151,10.766817891826753
13110,420179,34983,8.325737364313781
13111,135536,8391,6.190975091488609
13112,179120,8669,4.839772219740956
13113,110223,8412,7.631800985275306
13114,315423,30729,9.742155771773144
13115,104481,5975,5.718743120758798
13116,94688,3616,3.818857722203447
13117,93598,11457,12.240646167653155
13118,143173,15242,10.645861999119946
13119,598091,26232,4.385954645697728
13120,349903,45241,12.929583341668977
13121,104698,6606,6.309576114156909
13122,256620,20995,8.181357649442756
13123,185496,19078,10.284857894509855
13124,221627,13254,5.980318282519729
13125,230582,33553,14.55143940116748
13126,133793,33781,25.248705089204964
13127,153435,27434,17.879883989963176
13128,169051,15300,9.050523214887814
13129,122978,14755,11.998080957569647
13130,177411,39013,21.99018099215945
13131,97561,5069,5.195723701069075
13132,96142,8100,8.425037964677248
13201,665722,25725,3.864225607686091
13202,26243,1024,3.9019929123956865
13203,16268,208,1.2785837226456849
13301,152111,12548,8.249239042541301
13302,138557,14863,10.726993223005694
13303,23547,1507,6.399966025396017
13401,352671,18945,5.37186216048385
13402,121577,4276,3.517112611760448
13403,32965,1311,3.9769452449567724
13404,89339,5918,6.624206673457281
13501,111278,5231,4.700839339312353
13502,7634,70,0.9169504846738276
13503,33289,319,0.958274505091772
13504,13954,451,3.232048158234198
13505,15023,994,6.616521333954603
13601,114357,3640,3.1830145946465893
13602,35258,753,2.135685518180271
13603,34212,1081,3.159710043259675
13604,75370,4222,5.601698288443678
13605,127708,2510,1.9654211169229805
14101,193272,4546,2.3521255018833562
14102,4993,0,0
14103,15438,0,0
14104,17359,240,1.3825681202834266
14105,7049,0,0
14106,19948,180,0.9023460998596351
14107,17022,321,1.885794853718717
14108,32687,59,0.18049989292379234
14201,41404,192,0.4637233117573181
14202,14602,57,0.39035748527598957
14203,8372,0,0
14204,37283,234,0.6276318965748464
15101,255265,33308,13.048400681644566
15102,583,0,0
15201,1316,293,22.264437689969604
15202,73,0,0
16101,217484,8791,4.042136433024958
16102,25376,1240,4.8865069356872635
16103,34213,663,1.9378598778242189
16104,10200,0,0
16105,7353,0,0
16106,10574,82,0.7754870436920749
16107,16273,384,2.359736987648252
16108,14719,0,0
16109,19229,537,2.7926569244370483
16201,13679,104,0.7602894948461145
16202,5308,0,0
16203,15458,0,0
16204,5996,40,0.66711140760507
16205,5036,0,0
16206,5889,0,0
16207,6313,47,0.7444954855060986
16301,51346,1210,2.356561367974136
16302,25781,234,0.9076451650440247
16303,12103,0,0
16304,4333,0,0
16305,11729,449,3.8281183391593485
